"eco_id","eco_name"
72,"Lake Chad flooded savanna"
536,"Lara-Falcón dry forests"
475,"Leeward Islands moist forests"
163,"Lesser Sundas deciduous forests"
48,"Limpopo lowveld"
572,"Llanos"
142,"Lord Howe Island subtropical forests"
143,"Louisiade Archipelago rain forests"
577,"Low Monte"
238,"Lower Gangetic Plains moist deciduous forests"
239,"Luang Prabang montane rain forests"
240,"Luzon montane rain forests"
241,"Luzon rain forests"
303,"Luzon tropical pine forests"
32,"Madagascar dry deciduous forests"
83,"Madagascar ericoid thickets"
17,"Madagascar humid forests"
114,"Madagascar mangroves"
99,"Madagascar spiny thickets"
18,"Madagascar subhumid forests"
100,"Madagascar succulent woodlands"
476,"Madeira-Tapajós moist forests"
668,"Madeira evergreen forests"
478,"Magdalena-Urabá moist forests"
538,"Magdalena Valley dry forests"
477,"Magdalena Valley montane forests"
561,"Magellanic subpolar forests"
73,"Makgadikgadi halophytics"
242,"Malabar Coast moist forests"
243,"Maldives-Lakshadweep-Chagos Archipelago tropical moist forests"
604,"Malpelo Island xeric scrub"
669,"Manchurian mixed forests"
49,"Mandara Plateau woodlands"
19,"Maputaland coastal forests and woodlands"
539,"Maracaibo dry forests"
480,"Marajó várzea"
540,"Maranhão Babaçu forests"
479,"Marañón dry forests"
637,"Marianas tropical dry forests"
625,"Marquesas tropical moist forests"
50,"Masai xeric grasslands and shrublands"
20,"Mascarene forests"
481,"Mato Grosso tropical dry forests"
796,"Mediterranean Acacia-Argania dry woodlands and succulent thickets"
701,"Mediterranean conifer and mixed forests"
797,"Mediterranean dry woodlands and steppe"
758,"Mediterranean High Atlas juniper steppe"
798,"Mediterranean woodlands and forests"
244,"Meghalaya subtropical forests"
245,"Mentawai Islands rain forests"
432,"Meseta Central matorral"
613,"Mesoamerican Gulf-Caribbean mangroves"
830,"Mesopotamian shrub desert"
376,"Mid-Canada Boreal Plains forests"
414,"Canadian Middle Arctic Tundra"
393,"Mid-Atlantic US coastal savannas"
377,"Midwest Canadian Shield forests"
247,"Mindanao-Eastern Visayas rain forests"
246,"Mindanao montane rain forests"
248,"Mindoro rain forests"
573,"Miskito pine forests"
337,"Mississippi lowland forests"
187,"Mitchell Grass Downs"
249,"Mizoram-Manipur-Kachin rain forests"
433,"Mojave desert"
734,"Mongolian-Manchurian grassland"
394,"Montana Valley and Foothill grasslands"
482,"Monte Alegre várzea"
605,"Motagua Valley thornscrub"
21,"Mount Cameroon and Bioko montane forests"
84,"Mulanje Montane forest-grassland"
203,"Murray-Darling woodlands and mallee"
378,"Muskwa-Slave Lake taiga"
321,"Myanmar Coast mangroves"
250,"Myanmar coastal rain forests"
101,"Nama Karoo shrublands"
102,"Namaqualand-Richtersveld steppe"
103,"Namib Desert"
104,"Namibian savanna woodlands"
251,"Nansei Islands subtropical evergreen forests"
483,"Napo moist forests"
204,"Naracoorte woodlands"
296,"Narmada Valley dry deciduous forests"
395,"Nebraska Sand Hills mixed grasslands"
484,"Negro-Branco moist forests"
170,"Nelson Coast temperate forests"
743,"Nenjiang River grassland"
144,"New Britain-New Ireland lowland rain forests"
145,"New Britain-New Ireland montane rain forests"
164,"New Caledonia dry forests"
146,"New Caledonia rain forests"
338,"New England-Acadian forests"
217,"New Guinea mangroves"
252,"Nicobar Islands rain forests"
22,"Niger Delta swamp forests"
23,"Nigerian lowland forests"
670,"Nihonkai evergreen forests"
671,"Nihonkai montane deciduous forests"
744,"Nile Delta flooded savanna"
147,"Norfolk Island subtropical forests"
126,"Northeast Antarctic Peninsula tundra"
127,"Northwest Antarctic Peninsula tundra"
831,"North Arabian desert"
832,"North Arabian highland shrublands"
171,"New Zealand North Island temperate forests"
833,"North Saharan Xeric Steppe and Woodland"
106,"Somali montane xeric woodlands"
759,"North Tibetan Plateau-Kunlun Mountains alpine desert"
125,"North Victoria Land tundra"
253,"North Western Ghats moist deciduous forests"
254,"North Western Ghats montane rain forests"
673,"Northeast China Plain deciduous forests"
304,"Northeast India-Myanmar pine forests"
775,"Northeast Siberian coastal tundra"
714,"Northeast Siberian taiga"
485,"Northeast Brazil restingas"
24,"Northeast Congolian lowland forests"
702,"Northeast Himalayan subalpine conifer forests"
799,"Northeast Spain and Southern France Mediterranean forests"
339,"Northeast US Coastal forests"
51,"Northern Acacia-Commiphora bushlands and thickets"
703,"Northern Anatolian conifer and deciduous forests"
593,"Northern Andean páramo"
255,"Northern Annamites rain forests"
359,"Northern California coastal forests"
379,"Northern Canadian Shield taiga"
52,"Northern Congolian Forest-Savanna"
297,"North Deccan dry deciduous forests"
256,"Northern Indochina subtropical forests"
257,"Northern Khorat Plateau moist deciduous forests"
614,"Northern Mesoamerican Pacific mangroves"
148,"Northern New Guinea lowland rain and freshwater swamp forests"
149,"Northern New Guinea montane rain forests"
396,"Northern Shortgrass prairie"
25,"Northern Swahili coastal forests"
397,"Northern Tallgrass prairie"
258,"Northern Thailand-Laos moist deciduous forests"
259,"Northern Triangle subtropical forests"
307,"Northern Triangle temperate forests"
260,"Northern Vietnam lowland rain forests"
173,"Northland temperate kauri forests"
800,"Northwest Iberian montane forests"
776,"Northwest Russian-Novaya Zemlya tundra"
486,"Northwest Andean montane forests"
26,"Northwest Congolian lowland forests"
641,"Northwest Hawai'i scrub"
760,"Northwestern Himalayan alpine shrub and meadows"
314,"Aravalli west thorn scrub forests"
777,"Novosibirsk Islands Arctic desert"
704,"Nujiang Langcang Gorge alpine conifer and mixed forests"
212,"Nullarbor Plains xeric shrublands"
85,"Nyanga-Chimanimani Montane forest-grassland"
487,"Oaxacan montane forests"
626,"Ogasawara subtropical moist forests"
419,"Ogilvie-MacKenzie alpine tundra"
362,"Okanogan dry forests"
715,"Okhotsk-Manchurian taiga"
761,"Ordos Plateau steppe"
488,"Orinoco Delta swamp forests"
583,"Orinoco wetlands"
261,"Orissa semi-evergreen forests"
340,"Ozark Highlands mixed forests"
341,"Ozark Mountain forests"
420,"Pacific Coastal Mountain icefields and tundra"
627,"Palau tropical moist forests"
262,"Palawan rain forests"
398,"Palouse prairie"
762,"Pamir alpine desert and tundra"
541,"Panamanian dry forests"
674,"Pannonian mixed forests"
584,"Pantanal"
489,"Pantanos de Centla"
490,"Pantepui forests & shrublands"
606,"Paraguaná xeric scrub"
585,"Paraná flooded savanna"
834,"Paropamisus xeric woodlands"
578,"Patagonian steppe"
542,"Patía valley dry forests"
263,"Peninsular Malaysian montane rain forests"
264,"Peninsular Malaysian peat swamp forests"
265,"Peninsular Malaysian rain forests"
491,"Pernambuco coastal forests"
492,"Pernambuco interior forests"
493,"Peruvian Yungas"
494,"Petén-Veracruz moist forests"
213,"Pilbara shrublands"
801,"Pindus Mountains mixed forests"
363,"Piney Woods"
675,"Po Basin mixed forests"
735,"Pontic steppe"
128,"Prince Charles Mountains tundra"
543,"Puerto Rican dry forests"
495,"Puerto Rican moist forests"
364,"Puget lowland forests"
497,"Purus-Madeira moist forests"
496,"Purus várzea"
